"Mittauspiste Sijainti Päivä Suuntakoodi Ajoneuvoluokka",,,,,KLO_00-01,KLO_04-05,KLO_05-06,KLO_07-08,KLO_08-09,KLO_09-10,KLO_10-11,KLO_11-12,KLO_12-13,KLO_13-14,KLO_14-15,KLO_15-16,KLO_16-17,KLO_17-18,KLO_18-19,KLO_19-20,KLO_20-21,KLO_23-00
1252,st866_Kuusamo_T,2020/04/01,1,"11 HA-PA",,,,,3,1,1,,4,2,,1,,,,,,
1252,st866_Kuusamo_T,2020/04/01,1,"12 KAIP",,,,,,,1,,,,,,,,,,,
1252,st866_Kuusamo_T,2020/04/01,1,"14 KAPP",,,,,,2,1,,2,1,,,1,,,,,
1252,st866_Kuusamo_T,2020/04/01,1,"15 KATP",,,,,1,1,,,1,2,,,,,,,,
1252,st866_Kuusamo_T,2020/04/01,1,"16 HA + PK",,,,,1,,,,,,,,,,,,,
1252,st866_Kuusamo_T,2020/04/01,2,"11 HA-PA",,,,,,,,2,3,1,,,,,1,1,2,
1252,st866_Kuusamo_T,2020/04/01,2,"12 KAIP",,,,,,,1,,,,,,,,,,,
1252,st866_Kuusamo_T,2020/04/01,2,"14 KAPP",,,,,,,2,1,1,1,1,1,,,,,,
1252,st866_Kuusamo_T,2020/04/01,2,"15 KATP",,,,,,1,,,1,1,1,1,1,,,,,
1252,st866_Kuusamo_T,2020/04/01,2,"16 HA + PK",,,,,,,,1,,,,1,,,,,,
1252,st866_Kuusamo_T,2020/04/02,1,"11 HA-PA",,,,,4,1,,4,3,1,2,,1,,2,,,
1252,st866_Kuusamo_T,2020/04/02,1,"14 KAPP",,,,,,1,,,,,,1,,1,,,,
1252,st866_Kuusamo_T,2020/04/02,1,"15 KATP",,,,,,2,,,2,,,,,,,,,
1252,st866_Kuusamo_T,2020/04/02,2,"11 HA-PA",,,,,,1,,1,3,3,2,1,,3,1,1,2,
1252,st866_Kuusamo_T,2020/04/02,2,"13 Linja-autot",,,,,,,,,1,,,,,,,,,
1252,st866_Kuusamo_T,2020/04/02,2,"14 KAPP",,,,,,,4,,,1,,,,,,,,
1252,st866_Kuusamo_T,2020/04/02,2,"15 KATP",,,,,,,1,1,1,,1,1,,,,,,
1252,st866_Kuusamo_T,2020/04/03,1,"11 HA-PA",,,,,4,,1,3,2,1,,,1,,,,,
1252,st866_Kuusamo_T,2020/04/03,1,"12 KAIP",,,,,,1,,,,,,,,,,,,
1252,st866_Kuusamo_T,2020/04/03,1,"14 KAPP",,,,,,1,,,1,1,,,1,,,,,
1252,st866_Kuusamo_T,2020/04/03,1,"15 KATP",,,,,,1,,,2,,,1,,,,,,
1252,st866_Kuusamo_T,2020/04/03,2,"11 HA-PA",,,,,,,,4,1,1,,2,,1,,,3,
1252,st866_Kuusamo_T,2020/04/03,2,"14 KAPP",,,,,,,,,1,1,,,,1,,,,
1252,st866_Kuusamo_T,2020/04/03,2,"15 KATP",,,,,,2,,1,,,2,,,,1,,,
1252,st866_Kuusamo_T,2020/04/04,1,"11 HA-PA",,,,,5,,,,2,,1,1,1,1,,,,
1252,st866_Kuusamo_T,2020/04/04,1,"12 KAIP",,,,,,1,,,,,,,,,,,,
1252,st866_Kuusamo_T,2020/04/04,1,"15 KATP",,,,,,,,,2,,,,,,,,,
1252,st866_Kuusamo_T,2020/04/04,2,"11 HA-PA",,,,,,,,1,1,,,1,2,1,,1,2,
1252,st866_Kuusamo_T,2020/04/04,2,"15 KATP",,,,,,,1,2,,,,1,,,,,,
1252,st866_Kuusamo_T,2020/04/05,1,"11 HA-PA",,,,,5,,,,,,,,,,1,,,
