"Mittauspiste Sijainti Päivä Suuntakoodi Ajoneuvoluokka",,,,,KLO_00-01,KLO_01-02,KLO_02-03,KLO_03-04,KLO_04-05,KLO_05-06,KLO_06-07,KLO_07-08,KLO_08-09,KLO_09-10,KLO_10-11,KLO_11-12,KLO_12-13,KLO_13-14,KLO_14-15,KLO_15-16,KLO_16-17,KLO_17-18,KLO_18-19,KLO_19-20,KLO_20-21,KLO_21-22,KLO_22-23,KLO_23-00
581,vt7_Vaalimaa,2020/06/01,1,"11 HA-PA",,,,,,,,,1,,,4,3,1,2,,2,4,,,1,,,
581,vt7_Vaalimaa,2020/06/01,1,"12 KAIP",,,,,,,,,,,,,,,,,1,,,,,,,
581,vt7_Vaalimaa,2020/06/01,2,"11 HA-PA",,1,,,,,,,1,,,2,,2,,,1,1,,,1,,,
581,vt7_Vaalimaa,2020/06/01,2,"12 KAIP",,,,,,,,,,,,,,,,,1,,,,,,,
581,vt7_Vaalimaa,2020/06/02,1,"11 HA-PA",,,,,,,,,1,,2,4,3,,,1,1,1,2,2,,2,2,
581,vt7_Vaalimaa,2020/06/02,1,"16 HA + PK",,,,,,1,,,,,,,,,,,,,,,,,,
581,vt7_Vaalimaa,2020/06/02,2,"11 HA-PA",,,,,,,,,,,1,2,,1,2,,,3,,,,,1,
581,vt7_Vaalimaa,2020/06/03,1,"11 HA-PA",1,,,,,,,,1,1,,1,,1,1,,,,,,1,,,
581,vt7_Vaalimaa,2020/06/03,2,"11 HA-PA",,,,,,,,,,,,1,,,,,,2,,,,,,
581,vt7_Vaalimaa,2020/06/04,1,"11 HA-PA",3,,,1,,,,,2,,3,1,2,1,1,1,,,2,,,1,1,
581,vt7_Vaalimaa,2020/06/04,2,"11 HA-PA",,,1,,,,,,1,,,,1,1,,,,1,1,,1,,,2
581,vt7_Vaalimaa,2020/06/05,1,"11 HA-PA",,1,,,,1,,,3,,2,1,3,1,1,,,,1,,,1,,
581,vt7_Vaalimaa,2020/06/05,1,"16 HA + PK",,,,,,,,,,,,,,,,,,1,,,,,,
581,vt7_Vaalimaa,2020/06/05,2,"11 HA-PA",,,,1,,,1,,,1,1,,1,,,,1,1,,,,,,
581,vt7_Vaalimaa,2020/06/06,1,"11 HA-PA",,,,,,,,,2,1,1,1,4,1,,1,,3,,1,,,,2
581,vt7_Vaalimaa,2020/06/06,2,"11 HA-PA",,,,,,,,,,,,,1,,,,,1,1,,,,,
581,vt7_Vaalimaa,2020/06/07,1,"11 HA-PA",,,,,,,,1,,,1,1,,4,1,,3,1,1,,,,1,
581,vt7_Vaalimaa,2020/06/07,2,"11 HA-PA",,,,,,,,1,,,,,,,,,2,,1,,,,,1
581,vt7_Vaalimaa,2020/06/08,1,"11 HA-PA",,,,,1,,,,1,,2,2,1,2,1,,1,3,,,,1,,
581,vt7_Vaalimaa,2020/06/08,1,"12 KAIP",,,,,,,,1,,,,,,,,,,,,,,,,
581,vt7_Vaalimaa,2020/06/08,1,"16 HA + PK",,,,,,,,,,,,,,,,,,,,,,,,1
581,vt7_Vaalimaa,2020/06/08,2,"11 HA-PA",,,,,1,,,,1,,1,,,,1,,,1,2,,,,,1
581,vt7_Vaalimaa,2020/06/08,2,"12 KAIP",,,,,,,,1,,,,,,,,,,1,,,,,,
581,vt7_Vaalimaa,2020/06/09,1,"11 HA-PA",1,,,,,,,1,1,2,2,1,1,1,1,,,,1,,1,1,1,
581,vt7_Vaalimaa,2020/06/09,2,"11 HA-PA",,,,,,,,,,1,,,,,,,,1,,,,,2,
581,vt7_Vaalimaa,2020/06/09,2,"13 Linja-autot",,,,,,,,1,,,,,,,,,,,,,,,,
581,vt7_Vaalimaa,2020/06/10,1,"11 HA-PA",,2,,,,,,,2,,3,2,1,1,,,1,2,,1,1,1,,1
581,vt7_Vaalimaa,2020/06/10,1,"13 Linja-autot",,,,,,,,,,,,,,,,,,,,,1,,,
581,vt7_Vaalimaa,2020/06/10,1,"16 HA + PK",,,,,,,,,1,,,,,,,,,,,,,,,
581,vt7_Vaalimaa,2020/06/10,2,"11 HA-PA",,1,,,,,,,,1,1,,,,,,1,1,,,1,,,
581,vt7_Vaalimaa,2020/06/10,2,"16 HA + PK",,,,,,,,,,1,,,,,,,,,,,,,,
581,vt7_Vaalimaa,2020/06/11,1,"11 HA-PA",,1,,,,,,1,2,1,1,,,,1,,,,2,,2,,,
581,vt7_Vaalimaa,2020/06/11,1,"12 KAIP",,,,,,,,,,,,1,,,,,,,,,,,,
581,vt7_Vaalimaa,2020/06/11,2,"11 HA-PA",,,,,,,,,,,1,2,,,,1,,1,,,,,,
581,vt7_Vaalimaa,2020/06/12,1,"11 HA-PA",,,,,,,,1,1,1,2,3,2,1,,2,2,2,1,,,1,2,
581,vt7_Vaalimaa,2020/06/12,2,"11 HA-PA",,,,,,,,,,1,,1,1,,,,,4,,1,,,,
581,vt7_Vaalimaa,2020/06/13,1,"11 HA-PA",,,,1,,,,1,2,1,,1,1,2,,,1,,,,,,,2
581,vt7_Vaalimaa,2020/06/13,2,"11 HA-PA",,1,,,,1,,,,1,1,,,,1,,,1,,,,,,
581,vt7_Vaalimaa,2020/06/14,1,"11 HA-PA",3,,,,,,,2,1,2,1,2,2,3,,,2,2,1,,,,,2
581,vt7_Vaalimaa,2020/06/14,2,"11 HA-PA",1,,,,,,,,,,,1,1,1,,,1,,1,1,1,1,,
581,vt7_Vaalimaa,2020/06/15,1,"11 HA-PA",2,,,,1,,,,1,2,2,2,2,1,1,2,,1,1,,,,1,
581,vt7_Vaalimaa,2020/06/15,1,"12 KAIP",,,,,,,,,,,1,,,,,,1,,,,,,,
581,vt7_Vaalimaa,2020/06/15,2,"11 HA-PA",,,,,,,,,,1,1,1,1,2,1,1,1,1,,1,,1,,
581,vt7_Vaalimaa,2020/06/15,2,"12 KAIP",,,,,,,,,,,,,,,,,1,,,,,,,
581,vt7_Vaalimaa,2020/06/16,1,"11 HA-PA",,1,,,1,,,,2,1,1,3,,,1,3,1,,2,,1,,3,
581,vt7_Vaalimaa,2020/06/16,1,"16 HA + PK",,,,,,,,,,,,1,,,,,,,,,,,,
581,vt7_Vaalimaa,2020/06/16,2,"11 HA-PA",1,,,,,1,,,,,1,,2,2,1,,,1,2,2,2,,,
581,vt7_Vaalimaa,2020/06/16,2,"16 HA + PK",,,,,,,,,,,,,1,,,,,,,,,,,
581,vt7_Vaalimaa,2020/06/17,1,"11 HA-PA",,1,,,,1,,,1,2,2,2,3,2,1,,2,,2,1,1,,,1
581,vt7_Vaalimaa,2020/06/17,1,"16 HA + PK",,,,,,,,,,,,,,,,,,,,,,1,,
581,vt7_Vaalimaa,2020/06/17,1,"17 HA + AV",,,,,,,,,,,,,,,,,,,,,,,,1
581,vt7_Vaalimaa,2020/06/17,2,"11 HA-PA",,,,,,,,,,,1,,1,3,1,2,2,3,,,,,,
581,vt7_Vaalimaa,2020/06/18,1,"11 HA-PA",1,,1,,,1,,1,1,1,,1,1,3,3,2,3,1,2,1,1,,1,2
581,vt7_Vaalimaa,2020/06/18,2,"11 HA-PA",,,,,,,,1,,,1,1,,,1,,,1,,1,,,,1
