"Mittauspiste Sijainti Päivä Suuntakoodi Ajoneuvoluokka",,,,,KLO_00-01,KLO_01-02,KLO_05-06,KLO_07-08,KLO_10-11,KLO_11-12,KLO_12-13,KLO_13-14,KLO_14-15,KLO_15-16,KLO_16-17,KLO_17-18,KLO_18-19,KLO_19-20,KLO_20-21,KLO_21-22,KLO_22-23,KLO_23-00
1429,kt91_Rajajooseppi,2020/06/26,1,"11 HA-PA",,,,,,,,,1,,,,,1,,,,
1429,kt91_Rajajooseppi,2020/06/26,1,"12 KAIP",1,,,,,,,,,,,,,,,,,
1429,kt91_Rajajooseppi,2020/06/26,2,"14 KAPP",,,,,,,1,,,,,,,,,,,
1429,kt91_Rajajooseppi,2020/06/26,2,"17 HA + AV",,,,,,,1,,,,,,,,,,,
1429,kt91_Rajajooseppi,2020/06/27,1,"11 HA-PA",,,,,,,,1,,,,,,,,,,
1429,kt91_Rajajooseppi,2020/06/27,1,"15 KATP",1,,,,,,,,,,,,,,,,,
1429,kt91_Rajajooseppi,2020/06/27,2,"11 HA-PA",,,,,,1,,,,,,,,,,,,
1429,kt91_Rajajooseppi,2020/06/27,2,"14 KAPP",,,,,,1,1,,,,,,,,,,,
1429,kt91_Rajajooseppi,2020/06/28,2,"14 KAPP",,,,,1,,,,,,,,,,,,,
1429,kt91_Rajajooseppi,2020/06/29,1,"11 HA-PA",,,,,1,,,,,,,,,,,,,
1429,kt91_Rajajooseppi,2020/06/29,1,"14 KAPP",,,,,,,,,,,,2,,,,,1,
1429,kt91_Rajajooseppi,2020/06/29,2,"11 HA-PA",,,,,,,,1,,,,,1,,,,,1
1429,kt91_Rajajooseppi,2020/06/30,1,"14 KAPP",,,,,1,,,,,,,,,,,,,
